match_id,pm2_5,us_aqi,data_type
M001,9.9,68,Open-Meteo air quality (CAMS)
M002,14.4,123,Open-Meteo air quality (CAMS)
M003,2.0,56,Open-Meteo air quality (CAMS)
M004,12.1,56,Open-Meteo air quality (CAMS)
M005,17.9,70,Open-Meteo air quality (CAMS)
M006,3.7,72,Open-Meteo air quality (CAMS)
M007,3.4,48,Open-Meteo air quality (CAMS)
M008,15.5,57,Open-Meteo air quality (CAMS)
M009,8.7,57,Open-Meteo air quality (CAMS)
M010,10.9,51,Open-Meteo air quality (CAMS)
M011,10.9,100,Open-Meteo air quality (CAMS)
M012,6.8,41,Open-Meteo air quality (CAMS)
M013,4.7,51,Open-Meteo air quality (CAMS)
M014,15.0,64,Open-Meteo air quality (CAMS)
M015,5.7,34,Open-Meteo air quality (CAMS)
M016,8.9,53,Open-Meteo air quality (CAMS)
M017,6.2,41,Open-Meteo air quality (CAMS)
M018,2.2,40,Open-Meteo air quality (CAMS)
M019,6.4,51,Open-Meteo air quality (CAMS)
M020,14.2,57,Open-Meteo air quality (CAMS)
M021,4.6,37,Open-Meteo air quality (CAMS)
M022,5.9,56,Open-Meteo air quality (CAMS)
M023,5.1,51,Open-Meteo air quality (CAMS)
M024,15.4,55,Open-Meteo air quality (CAMS)
M025,3.1,30,Open-Meteo air quality (CAMS)
M026,20.0,63,Open-Meteo air quality (CAMS)
M027,9.7,58,Open-Meteo air quality (CAMS)
M028,1.3,32,Open-Meteo air quality (CAMS)
M029,9.4,50,Open-Meteo air quality (CAMS)
M030,3.6,45,Open-Meteo air quality (CAMS)
M031,11.1,47,Open-Meteo air quality (CAMS)
M032,5.7,41,Open-Meteo air quality (CAMS)
M033,9.2,53,Open-Meteo air quality (CAMS)
M034,5.5,26,Open-Meteo air quality (CAMS)
M035,11.8,60,Open-Meteo air quality (CAMS)
M036,16.6,125,Open-Meteo air quality (CAMS)
M037,16.6,58,Open-Meteo air quality (CAMS)
M038,11.7,51,Open-Meteo air quality (CAMS)
M039,14.3,86,Open-Meteo air quality (CAMS)
M040,12.1,63,Open-Meteo air quality (CAMS)
M041,8.9,57,Open-Meteo air quality (CAMS)
M042,13.7,71,Open-Meteo air quality (CAMS)
M043,12.6,84,Open-Meteo air quality (CAMS)
M044,14.1,54,Open-Meteo air quality (CAMS)
M045,17.1,54,Open-Meteo air quality (CAMS)
M046,5.8,38,Open-Meteo air quality (CAMS)
M047,11.6,58,Open-Meteo air quality (CAMS)
M048,15.4,84,Open-Meteo air quality (CAMS)
M049,29.9,90,Open-Meteo air quality (CAMS)
M050,17.3,64,Open-Meteo air quality (CAMS)
M051,21.8,60,Open-Meteo air quality (CAMS)
M052,15.8,86,Open-Meteo air quality (CAMS)
M053,17.5,58,Open-Meteo air quality (CAMS)
M054,6.5,51,Open-Meteo air quality (CAMS)
M055,10.2,75,Open-Meteo air quality (CAMS)
M056,11.9,60,Open-Meteo air quality (CAMS)
M057,15.7,65,Open-Meteo air quality (CAMS)
M058,8.3,56,Open-Meteo air quality (CAMS)
M059,12.1,64,Open-Meteo air quality (CAMS)
M060,11.5,51,Open-Meteo air quality (CAMS)
M061,13.2,52,Open-Meteo air quality (CAMS)
M062,37.3,75,Open-Meteo air quality (CAMS)
M063,20.1,62,Open-Meteo air quality (CAMS)
M064,21.1,80,Open-Meteo air quality (CAMS)
M065,2.4,23,Open-Meteo air quality (CAMS)
M066,5.1,41,Open-Meteo air quality (CAMS)
M067,30.7,78,Open-Meteo air quality (CAMS)
M068,10.9,81,Open-Meteo air quality (CAMS)
M069,26.0,78,Open-Meteo air quality (CAMS)
M070,7.9,60,Open-Meteo air quality (CAMS)
M071,12.5,41,Open-Meteo air quality (CAMS)
M072,11.7,60,Open-Meteo air quality (CAMS)
